#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	SYMBOL
FBgn0036843	FBgn0036843	CG6812	Sfxn2
FBgn0036844	FBgn0036844	CG14080	Mkp3
FBgn0036846	FBgn0036846	CG6818	MESR6
FBgn0036847	FBgn0036847	CG11577	CNPYb
FBgn0036848	FBgn0036848	CG10424	Naxd
FBgn0036850	FBgn0036850	CG10419	Gem2
FBgn0036853	FBgn0036853	CG9730	mRpL21
FBgn0036857	FBgn0036857	CG9629	Aldh7A1
FBgn0036859	FBgn0036859	CG14085	CG14085
FBgn0036860	FBgn0036860	CG14086	CG14086
FBgn0036862	FBgn0036862	CG9619	Gbs-76A
FBgn0036875	FBgn0036875	CG9449	CG9449
FBgn0036882	FBgn0036882	CG9279	CG9279
FBgn0036886	FBgn0036886	CG9300	CG9300
FBgn0036887	FBgn0036887	CG9231	CG9231
FBgn0036888	FBgn0036888	CG9330	CG9330
FBgn0036889	FBgn0036889	CG14100	CG14100
FBgn0036890	FBgn0036890	CG9368	CG9368
FBgn0036892	FBgn0036892	CG8798	Lon
FBgn0036893	FBgn0036893	CG9376	PIG-F
FBgn0036896	FBgn0036896	CG8789	wnd
FBgn0036897	FBgn0036897	CG8786	CG8786
FBgn0036900	FBgn0036900	CG8765	CG8765
FBgn0036906	FBgn0036906	CG14102	CG14102
FBgn0036908	FBgn0036908	CG14103	TORIP
FBgn0036909	FBgn0036909	CG15881	Ccdc58
FBgn0036910	FBgn0036910	CG8733	Cyp305a1
FBgn0036911	FBgn0036911	CG8660	Fibp
FBgn0036913	FBgn0036913	CG8334	Usp32
FBgn0036915	FBgn0036915	CG7757	Prp3
FBgn0036916	FBgn0036916	CG8025	Mtr3
FBgn0036918	FBgn0036918	CG7770	Pfdn6
FBgn0036919	FBgn0036919	CG7809	Grasp65
FBgn0036920	FBgn0036920	CG8004	CG8004
FBgn0036921	FBgn0036921	CG7823	RhoGDI
FBgn0036922	FBgn0036922	CG14182	CG14182
FBgn0036926	FBgn0036926	CG7646	CG7646
FBgn0036927	FBgn0036927	CG7433	Gabat
FBgn0036928	FBgn0036928	CG7654	Tom20
FBgn0036929	FBgn0036929	CG7668	CG7668
FBgn0036931	FBgn0036931	CG14183	CG14183
FBgn0036932	FBgn0036932	CG14184	CG14184
FBgn0036934	FBgn0036934	CG7395	sNPF-R
FBgn0036935	FBgn0036935	CG14186	CG14186
FBgn0036942	FBgn0036942	CG7328	CG7328
FBgn0036945	FBgn0036945	CG6981	Ssk
FBgn0036953	FBgn0036953	CG17145	CG17145
FBgn0036956	FBgn0036956	CG13813	CG13813
FBgn0036958	FBgn0036958	CG17233	CG17233
FBgn0036959	FBgn0036959	CG6951	CG6951
FBgn0036964	FBgn0036964	CG6480	FRG1
FBgn0036967	FBgn0036967	CG6597	SCCRO4
FBgn0036973	FBgn0036973	CG5585	Rbbp5
FBgn0036974	FBgn0036974	CG5605	eRF1
FBgn0036975	FBgn0036975	CG5618	CG5618
FBgn0036978	FBgn0036978	CG5528	Toll-9
FBgn0036980	FBgn0036980	CG5701	RhoBTB
FBgn0036984	FBgn0036984	CG13248	CG13248
FBgn0036985	FBgn0036985	CG5847	zye
FBgn0036986	FBgn0036986	CG5282	CG5282
FBgn0036987	FBgn0036987	CG5274	CG5274
FBgn0036988	FBgn0036988	CG5262	CG5262
FBgn0036990	FBgn0036990	CG5219	mRpL15
FBgn0036991	FBgn0036991	CG5872	CtIP
FBgn0036993	FBgn0036993	CG5910	CG5910
FBgn0036994	FBgn0036994	CG5199	CG5199
FBgn0036996	FBgn0036996	CG5932	mag
FBgn0036997	FBgn0036997	CG5955	CG5955
FBgn0036998	FBgn0036998	CG5969	CG5969
FBgn0036999	FBgn0036999	CG5976	isoQC
FBgn0037000	FBgn0037000	CG5130	ZnT77C
FBgn0037001	FBgn0037001	CG6020	ND-39
FBgn0037003	FBgn0037003	CG18281	CG18281
FBgn0037004	FBgn0037004	CG17637	CG17637
FBgn0037007	FBgn0037007	CG5059	CG5059
FBgn0037008	FBgn0037008	CG5047	mTerf3
FBgn0037009	FBgn0037009	CG5104	CG5104
FBgn0037010	FBgn0037010	CG4825	CG4825
FBgn0037011	FBgn0037011	CG4858	CG4858
FBgn0037012	FBgn0037012	CG4786	Rcd2
FBgn0037013	FBgn0037013	CG13250	CG13250
FBgn0037015	FBgn0037015	CG13253	cmpy
FBgn0037016	FBgn0037016	CG13252	CG13252
FBgn0037017	FBgn0037017	CG4074	CG4074
FBgn0037018	FBgn0037018	CG4042	CG4042
FBgn0037019	FBgn0037019	CG3947	Pex16
FBgn0037020	FBgn0037020	CG4289	Pex14
FBgn0037021	FBgn0037021	CG11399	CG11399
FBgn0037022	FBgn0037022	CG11396	CG11396
FBgn0037024	FBgn0037024	CG4365	tzn
FBgn0037025	FBgn0037025	CG11451	Spc105R
FBgn0037026	FBgn0037026	CG3634	CG3634
FBgn0037027	FBgn0037027	CG3680	HIPP1
FBgn0037028	FBgn0037028	CG3618	CG3618
FBgn0037031	FBgn0037031	CG11456	CG11456
FBgn0037044	FBgn0037044	CG10585	Pdss2
FBgn0037045	FBgn0037045	CG10584	CG10584
FBgn0037046	FBgn0037046	CG10581	CG10581
FBgn0037050	FBgn0037050	CG10566	ICA69
FBgn0037051	FBgn0037051	CG10565	CG10565
FBgn0037057	FBgn0037057	CG10512	CG10512
FBgn0037060	FBgn0037060	CG10508	CG10508
FBgn0037061	FBgn0037061	CG12975	CG12975
FBgn0037063	FBgn0037063	CG9391	CG9391
FBgn0037065	FBgn0037065	CG12974	CG12974
FBgn0037067	FBgn0037067	CG11310	Cpr78Ca
FBgn0037070	FBgn0037070	CG11309	CG11309
FBgn0037071	FBgn0037071	CG7632	CG7632
FBgn0037073	FBgn0037073	CG7338	Tsr1
FBgn0037074	FBgn0037074	CG7324	CG7324
FBgn0037076	FBgn0037076	CG12972	ebd2
FBgn0037081	FBgn0037081	CG6049	barc
FBgn0037082	FBgn0037082	CG5664	CG5664
FBgn0037084	FBgn0037084	CG7736	Syx6
FBgn0037087	FBgn0037087	CG7519	CG7519
FBgn0037090	FBgn0037090	CG7529	Est-Q
FBgn0037092	FBgn0037092	CG7540	M6
FBgn0037093	FBgn0037093	CG7597	Cdk12
FBgn0037094	FBgn0037094	CG7611	CG7611
FBgn0037098	FBgn0037098	CG7177	Wnk
FBgn0037102	FBgn0037102	CG7172	CRIF
FBgn0037105	FBgn0037105	CG7169	S1P
FBgn0037106	FBgn0037106	CG11307	CG11307
FBgn0037107	FBgn0037107	CG7166	CG7166
FBgn0037108	FBgn0037108	CG11306	Alg11
FBgn0037109	FBgn0037109	CG7162	MED1
FBgn0037110	FBgn0037110	CG14577	ORMDL
FBgn0037116	FBgn0037116	CG7158	Als2
FBgn0037117	FBgn0037117	CG11248	CG11248
FBgn0037120	FBgn0037120	CG11247	CG11247
FBgn0037121	FBgn0037121	CG11246	Rpb8
FBgn0037130	FBgn0037130	CG7152	Syn1
FBgn0037133	FBgn0037133	CG7370	CG7370
FBgn0037134	FBgn0037134	CG7407	CG7407
FBgn0037135	FBgn0037135	CG7414	CG7414
FBgn0037137	FBgn0037137	CG7421	Nopp140
FBgn0037138	FBgn0037138	CG7145	P5CDh1
FBgn0037140	FBgn0037140	CG7442	SLC22A
FBgn0037141	FBgn0037141	CG7143	DNApol-eta
FBgn0037142	FBgn0037142	CG14562	CG14562
FBgn0037144	FBgn0037144	CG7458	CG7458
FBgn0037146	FBgn0037146	CG7470	CG7470
FBgn0037149	FBgn0037149	CG14561	CG14561
FBgn0037150	FBgn0037150	CG7133	CG7133
FBgn0037151	FBgn0037151	CG7130	CG7130
FBgn0037153	FBgn0037153	CG12673	olf413
FBgn0037156	FBgn0037156	CG11523	CG11523
FBgn0037163	FBgn0037163	CG11440	laza
FBgn0037174	FBgn0037174	CG14457	CG14457
FBgn0037176	FBgn0037176	CG14456	CG14456
FBgn0037182	FBgn0037182	CG6838	ArfGAP3
FBgn0037183	FBgn0037183	CG14451	CG14451
FBgn0037184	FBgn0037184	CG14450	CG14450
FBgn0037185	FBgn0037185	CG11367	CG11367
FBgn0037186	FBgn0037186	CG11241	CG11241
FBgn0037188	FBgn0037188	CG7369	CG7369
FBgn0037195	FBgn0037195	CG11226	CG11226
FBgn0037199	FBgn0037199	CG11137	CG11137
FBgn0037200	FBgn0037200	CG11109	CG11109
FBgn0037202	FBgn0037202	CG11115	Ssl1
FBgn0037203	FBgn0037203	CG11128	slif
FBgn0037207	FBgn0037207	CG11100	Mes2
FBgn0037213	FBgn0037213	CG12581	CG12581
FBgn0037215	FBgn0037215	CG12582	beta-Man
FBgn0037218	FBgn0037218	CG1107	aux
FBgn0037220	FBgn0037220	CG14641	CG14641
FBgn0037222	FBgn0037222	CG14642	CG14642
FBgn0037225	FBgn0037225	CG14643	TwdlG
FBgn0037229	FBgn0037229	CG9766	CG9766
FBgn0037231	FBgn0037231	CG9779	Vps24
FBgn0037232	FBgn0037232	CG9791	Suv3
FBgn0037234	FBgn0037234	CG9795	CG9795
FBgn0037235	FBgn0037235	CG1103	CG1103
FBgn0037236	FBgn0037236	CG9772	Skp2
FBgn0037238	FBgn0037238	CG1090	CG1090
FBgn0037239	FBgn0037239	CG11739	Sfxn1-3
FBgn0037240	FBgn0037240	CG1084	Cont
FBgn0037241	FBgn0037241	CG14646	CG14646
FBgn0037242	FBgn0037242	CG9855	CG9855
FBgn0037244	FBgn0037244	CG14647	CG14647
FBgn0037248	FBgn0037248	CG9809	srl
FBgn0037250	FBgn0037250	CG1074	CG1074
FBgn0037251	FBgn0037251	CG9804	CG9804
FBgn0037252	FBgn0037252	CG14650	CG14650
FBgn0037255	FBgn0037255	CG1078	Fip1
FBgn0037261	FBgn0037261	CG9775	CG9775
FBgn0037262	FBgn0037262	CG1057	MED31
FBgn0037263	FBgn0037263	CG18271	slx1
FBgn0037265	FBgn0037265	CG12001	spartin
FBgn0037270	FBgn0037270	CG9769	eIF3f1
FBgn0037279	FBgn0037279	CG1129	CG1129
FBgn0037282	FBgn0037282	CG14657	CG14657
FBgn0037291	FBgn0037291	CG14662	CG14662
FBgn0037292	FBgn0037292	CG2022	plh
FBgn0037293	FBgn0037293	CG12007	CG12007
FBgn0037297	FBgn0037297	CG1116	CG1116
FBgn0037298	FBgn0037298	CG2604	Sccpdh1
FBgn0037299	FBgn0037299	CG1115	Vps37B
FBgn0037301	FBgn0037301	CG12005	Mms19
FBgn0037304	FBgn0037304	CG1113	CG1113
FBgn0037305	FBgn0037305	CG12173	CG12173
FBgn0037307	FBgn0037307	CG14666	Tim17a2
FBgn0037310	FBgn0037310	CG1158	Tim17b1
FBgn0037312	FBgn0037312	CG11999	CG11999
FBgn0037313	FBgn0037313	CG1161	CG1161
FBgn0037315	FBgn0037315	CG16708	Cerk
FBgn0037317	FBgn0037317	CG14667	CG14667
FBgn0037327	FBgn0037327	CG2087	PEK
FBgn0037328	FBgn0037328	CG2099	RpL35A
FBgn0037329	FBgn0037329	CG12162	POLDIP2
FBgn0037330	FBgn0037330	CG2109	mRpL44
FBgn0037332	FBgn0037332	CG14670	Hcs
FBgn0037336	FBgn0037336	CG2519	CG2519
FBgn0037338	FBgn0037338	CG10018	Snm1
FBgn0037339	FBgn0037339	CG2929	Pi4KIIalpha
FBgn0037340	FBgn0037340	CG14671	CG14671
FBgn0037341	FBgn0037341	CG12746	CG12746
FBgn0037342	FBgn0037342	CG2931	CG2931
FBgn0037344	FBgn0037344	CG2926	CG2926
FBgn0037345	FBgn0037345	CG2948	rev7
FBgn0037347	FBgn0037347	CG1427	CG1427
FBgn0037350	FBgn0037350	CG2911	CG2911
FBgn0037351	FBgn0037351	CG1475	RpL13A
FBgn0037354	FBgn0037354	CG12171	CG12171
FBgn0037356	FBgn0037356	CG12170	CG12170
FBgn0037358	FBgn0037358	CG2185	elm
FBgn0037359	FBgn0037359	CG1245	MED27
FBgn0037360	FBgn0037360	CG2182	CG2182
FBgn0037363	FBgn0037363	CG1347	Atg17
FBgn0037365	FBgn0037365	CG2104	CG2104
FBgn0037368	FBgn0037368	CG1239	CG1239
FBgn0037369	FBgn0037369	CG2100	CG2100
FBgn0037370	FBgn0037370	CG1236	CG1236
FBgn0037371	FBgn0037371	CG2097	Sym
FBgn0037372	FBgn0037372	CG2091	CG2091
FBgn0037374	FBgn0037374	CG10978	jagn
FBgn0037376	FBgn0037376	CG2051	Hat1
FBgn0037377	FBgn0037377	CG1218	CG1218
FBgn0037378	FBgn0037378	CG2046	CG2046
FBgn0037379	FBgn0037379	CG10979	CG10979
FBgn0037382	FBgn0037382	CG2031	Hpr1
FBgn0037383	FBgn0037383	CG2023	CG2023
FBgn0037384	FBgn0037384	CG10981	dgrn
FBgn0037386	FBgn0037386	CG1208	CG1208
FBgn0037387	FBgn0037387	CG1213	CG1213
FBgn0037391	FBgn0037391	CG2017	CG2017
FBgn0037406	FBgn0037406	CG15585	Osi1
FBgn0037408	FBgn0037408	CG1147	NPFR
FBgn0037409	FBgn0037409	CG15589	Osi24
FBgn0037419	FBgn0037419	CG1154	Osi12
FBgn0037435	FBgn0037435	CG18048	CG18048
FBgn0037439	FBgn0037439	CG10286	CG10286
FBgn0037440	FBgn0037440	CG1041	CRAT
FBgn0037442	FBgn0037442	CG10277	gzl
FBgn0037443	FBgn0037443	CG1021	Dmtn
FBgn0037445	FBgn0037445	CG9727	CG9727
FBgn0037446	FBgn0037446	CG10267	Zif
FBgn0037448	FBgn0037448	CG15186	CG15186
FBgn0037465	FBgn0037465	CG1105	CG1105
FBgn0037466	FBgn0037466	CG1965	CG1965
FBgn0037467	FBgn0037467	CG1104	Ufl1
FBgn0037468	FBgn0037468	CG1943	CG1943
FBgn0037469	FBgn0037469	CG1939	Dpck
FBgn0037470	FBgn0037470	CG1091	Tailor
FBgn0037472	FBgn0037472	CG10098	CG10098
FBgn0037473	FBgn0037473	CG10068	CG10068
FBgn0037475	FBgn0037475	CG33323	Fer1
FBgn0037478	FBgn0037478	CG2656	CG2656
FBgn0037481	FBgn0037481	CG10059	MAGE
FBgn0037482	FBgn0037482	CG10055	CG10055
FBgn0037483	FBgn0037483	CG14609	CG14609
FBgn0037485	FBgn0037485	CG14606	CG14606
FBgn0037489	FBgn0037489	CG1234	CG1234
FBgn0037490	FBgn0037490	CG10053	CG10053
FBgn0037491	FBgn0037491	CG1227	CG1227
FBgn0037492	FBgn0037492	CG10050	CG10050
FBgn0037504	FBgn0037504	CG1142	CG1142
FBgn0037513	FBgn0037513	CG3027	pyd3
FBgn0037517	FBgn0037517	CG10086	CG10086
FBgn0037518	FBgn0037518	CG2641	CG2641
FBgn0037519	FBgn0037519	CG3014	CG3014
FBgn0037520	FBgn0037520	CG18268	CG18268
FBgn0037521	FBgn0037521	CG2993	CG2993
FBgn0037525	FBgn0037525	CG17816	CG17816
FBgn0037526	FBgn0037526	CG10092	ArgRS-m
FBgn0037529	FBgn0037529	CG2957	mRpS9
FBgn0037530	FBgn0037530	CG2943	EMC1
FBgn0037531	FBgn0037531	CG10445	CG10445
FBgn0037533	FBgn0037533	CG2791	CD98hc
FBgn0037534	FBgn0037534	CG2781	ELOVL
FBgn0037535	FBgn0037535	CG14463	PIG-H
FBgn0037536	FBgn0037536	CG2698	CG2698
FBgn0037537	FBgn0037537	CG2767	CG2767
FBgn0037538	FBgn0037538	CG3223	CG3223
FBgn0037539	FBgn0037539	CG10435	CG10435
FBgn0037540	FBgn0037540	CG2702	Pbp95
FBgn0037541	FBgn0037541	CG2747	CG2747
FBgn0037543	FBgn0037543	CG10903	CG10903
FBgn0037544	FBgn0037544	CG11035	CG11035
FBgn0037548	FBgn0037548	CG7900	CG7900
FBgn0037549	FBgn0037549	CG7878	CG7878
FBgn0037550	FBgn0037550	CG9667	CG9667
FBgn0037552	FBgn0037552	CG7800	CG7800
FBgn0037554	FBgn0037554	CG7602	DNApol-iota
FBgn0037555	FBgn0037555	CG9638	Ada2b
FBgn0037556	FBgn0037556	CG9636	CG9636
FBgn0037561	FBgn0037561	CG9630	CG9630
FBgn0037562	FBgn0037562	CG11671	Nazo
FBgn0037566	FBgn0037566	CG7494	mRpL1
FBgn0037569	FBgn0037569	CG9615	tex
FBgn0037574	FBgn0037574	CG9613	Coq2
FBgn0037578	FBgn0037578	CG9601	CG9601
FBgn0037579	FBgn0037579	CG18193	COX7AL
FBgn0037580	FBgn0037580	CG7415	DppIII
FBgn0037581	FBgn0037581	CG7352	CG7352
